Year,Age,Sex,Country,Population
2048, 25-29,Total,Wales,182638.0
2048, 30-34,Total,Wales,206342.0
2048, 35-39,Total,Wales,219712.0
2048, 40-44,Total,Wales,210712.0
2048, 45-49,Total,Wales,210650.0
2048, 50-54,Total,Wales,220811.0
2048, 55-59,Total,Wales,226765.0
2048, 60-64,Total,Wales,206150.0
2048, 65-69,Total,Wales,193975.0
2048, 70-74,Total,Wales,167241.0
2048, 75-79,Total,Wales,178712.0
2048, 80-84,Total,Wales,154838.0
2048, 85-89,Total,Wales,102225.0
2048, 90-94,Total,Wales,47193.0
2048, 95-99,Total,Wales,14456.0
2048, 100 & over,Total,Wales,2329.0
2048,All ages,Total,Wales,3350940.0
2049,  0-4,Total,Wales,146613.0
2049,  5-9,Total,Wales,155330.0
2049, 10-14,Total,Wales,157494.0
2049, 15-19,Total,Wales,162861.0
2049, 20-24,Total,Wales,183602.0
2049, 25-29,Total,Wales,180435.0
2049, 30-34,Total,Wales,203253.0
2049, 35-39,Total,Wales,219079.0
2049, 40-44,Total,Wales,214576.0
2049, 45-49,Total,Wales,207456.0
2049, 50-54,Total,Wales,219891.0
2049, 55-59,Total,Wales,229048.0
2049, 60-64,Total,Wales,211181.0
2049, 65-69,Total,Wales,195785.0
2049, 70-74,Total,Wales,167646.0
2049, 75-79,Total,Wales,173155.0
2049, 80-84,Total,Wales,154745.0
2049, 85-89,Total,Wales,105647.0
2049, 90-94,Total,Wales,48847.0
2049, 95-99,Total,Wales,14740.0
2049, 100 & over,Total,Wales,2392.0
2049,All ages,Total,Wales,3353776.0
2050,  0-4,Total,Wales,145500.0
2050,  5-9,Total,Wales,155245.0
2050, 10-14,Total,Wales,158072.0
2050, 15-19,Total,Wales,162806.0
2050, 20-24,Total,Wales,183556.0
2050, 25-29,Total,Wales,179592.0
2050, 30-34,Total,Wales,199100.0
2050, 35-39,Total,Wales,217563.0
2050, 40-44,Total,Wales,218161.0
2050, 45-49,Total,Wales,205457.0
2050, 50-54,Total,Wales,221249.0
2050, 55-59,Total,Wales,228172.0
2050, 60-64,Total,Wales,215225.0
2050, 65-69,Total,Wales,197113.0
2050, 70-74,Total,Wales,171264.0
2050, 75-79,Total,Wales,167995.0
2050, 80-84,Total,Wales,153270.0
2050, 85-89,Total,Wales,108827.0
2050, 90-94,Total,Wales,50747.0
2050, 95-99,Total,Wales,14935.0
2050, 100 & over,Total,Wales,2423.0
2050,All ages,Total,Wales,3356272.0
2051,  0-4,Total,Wales,144282.0
2051,  5-9,Total,Wales,154918.0
2051, 10-14,Total,Wales,158665.0
2051, 15-19,Total,Wales,162834.0
2051, 20-24,Total,Wales,183486.0
2051, 25-29,Total,Wales,180599.0
2051, 30-34,Total,Wales,192994.0
2051, 35-39,Total,Wales,215296.0
2051, 40-44,Total,Wales,221274.0
2051, 45-49,Total,Wales,205233.0
2051, 50-54,Total,Wales,221487.0
